Cluster,I_variable,range_min,range_max,Preference,I_weight,I_label,I_description,group,subgroup,variable,Weight,label,Description
Organic Farming,AD,20,60,moderate,1,% Paddy Area,Moderate paddy area allows diversification and reduces chemical-intensive dependency.,Land & Agri,Cropping system,A,1,Farming Households (%),Share of households with farming as major activity
Organic Farming,AF,15,40.67,higher,1,% Area Under Horticulture,Horticulture crops yield higher organic premiums and support income growth.,Water,Irrigation,B,1,Source of irrigation,Main source of irrigation in village
Organic Farming,C,33,487.9,higher,1,Cultivated area irrigated (%),Organic yields are more sensitive to moisture stress,Water,Irrigation,C,1,Cultivated area irrigated (%),Area irrigated as per cent of gross cropped area
Organic Farming,M,25,97.9,higher,1,% villages with Livestock extension,Livestock extension,Infrastructure,Agricutlure-Input,D,1,% Villages with Govt Seed Centre (< 5 km),Villages having Government Seed Centre in village or within 5 kms (percent)
Organic Farming,BF,0.5,0.98,higher,1,Cattle density (per 100 hectares),Livestock provides manure—critical for organic nutrient cycling.,Water,Irrigation,E,1,% villages with community rainwater harvesting system,Villages having Community rain water harvesting systems (percent)
Organic Farming,BG,0.5,0.97,higher,1,Bufallow density (per 100 hectares),Livestock provides manure—critical for organic nutrient cycling.,People,Collectives,F,1,% villages with FPOs/PACs,Villages having Farmers Produce Organization (FPOs)/Primary Agriculture Cooperative Society (PACS) or both (percent)
Organic Farming,Z,40,73.64,higher,1,% Households in SHGs,"High social mobilisation supports certification, collective action, and input preparation.",Infrastructure,Post Production/Market,G,1,% Villages with Warehouse for food grain storage (< 5 km),Villages having Warehouse for food grain storage in village or within 5 kms (percent)
Organic Farming,AB,5,21.32,higher,1,% Households in Producer Groups,Producer groups strengthen aggregation and market linkages for organic produce.,Infrastructure,Post Production/Market,H,1,% Villages with primary processing facility (< 5 km),Villages having primary processing facility (percent) 
Organic Farming,AC,25,92.54,higher,1,% SHGs Accessing Bank Loans,Financial access enables investment in compost pits and bio-input units.,Infrastructure,Agricutlure-Input,I,1,% Villages with custom hiring centre (< 5 km),Villages having access to custom hiring centre (percent) 
Organic Farming,X,75,100,higher,1,% Villages with Regular Markets,Market availability ensures timely sale of organic produce.,Land & Agri,Cropping system,J,1,Cropping intensity (%),Cropping intensity - Gross cultivated area/Net cultivated area
Organic Farming,V,45,90.58,higher,1,% Villages with Banks (<5 km),Access to finance supports certification and collective marketing.,Infrastructure,Agricutlure-Input,K,1,% Villages with soil testing centres (< 5 km),Villages having soil testing centres in village or within 5 kms (percent)
Organic Farming,W,33,74.61,higher,1,% Households with Jan Dhan Accounts,Financial inclusion supports subsidy flow and payments to farmers.,Infrastructure,Agricutlure-Input,L,1,% Villages with fertiliser shop (< 5 km),Villages having fertilizer shop in village or within 5 kms (percent)
Integrated Farming,AE,0.3,1.9,higher,1,Fodder crop area (%),Area under fodder crops,Livestock,Extension,M,1,% villages with Livestock extension,Villages having Livestock extension services (percent)
Integrated Farming,AF,15.3,40.7,higher,1,Horticulture area (%),Area under horticulture crops,Livestock,Extension,N,1,% Villages with milk collection facility (< 5 km),Villages having Availability of milk collection centre (percent)
Integrated Farming,AG,0.6,0.9,higher,1,Crop Diversifcation Index,High values reflected greater diversity of crops,Livestock,Extension,O,1,% villages with veterinary clinic (< 5 km),Villages having Availability of veterinary clinic in village or within 5 kms (percent)
Integrated Farming,C,25.8,83.2,higher,1,Cultivated area irrigated (%),Area irrigated as per cent of gross cropped area,Livestock,Extension,P,1,% villages with community ponds for fisheires ,Villages having Community ponds for fisheires (percent)
Integrated Farming,BC,1,15.8,lower,1,Statge of Groundwater Development (%),Groundwater abstraction to recharge ratio,Livestock,Livestock density,Q,1,% villages have Pisciculture,Villages having Pisciculture (fishery(percent)
Integrated Farming,AJ,2.5,20.1,higher,1,Soil Testing Coverage (%),% Farmers receiving soil testing report,Livestock,Extension,R,1,% villages with Aquaculture extension,Villages having Extension facility for aquaculture in village or within 5 kms. (percent)
