VILL_ID,VILL_NAME,GP_NAME,GP_CODE
289980,1 No. Bacha Gaon,NA-SADIYA,9
289935,1 No. Bishnupur Pohukhowa,RAJGARH,5
289972,1 No. Boiragi Math,NA-SADIYA,9
289947,1 No. Borgorah Assamiya,BURABURI,3
289962,1 No. Chapakhowa,NA-GAON,8
289943,1 No. Rampur Megela,RAJGARH,5
289957,1 No. Santipur,SANTIPUR,6
290935,112/109 Makum Assam T.C.No.3,KUMARPATTY,79
289936,2 No. Bishnupur Bargohain,RAJGARH,5
289934,2 No. Bishnupur Pohukhowa,RAJGARH,5
289973,2 No. Boiragimath,NA-SADIYA,9
289946,2 No. Borgorah Assamiya,BURABURI,3
289968,2 No. Chapakhowa,NA-GAON,8
289978,2 No. Gohain Gaon,NA-GAON,8
289942,2 No. Rampur Megela,RAJGARH,5
289956,2 No. Santipur,SANTIPUR,6
289945,3 No. Borgorah Assamiya,BURABURI,3
289955,3 No. Santipur,SANTIPUR,6
289954,4 NO. SANTIPUR,SANTIPUR,6
290909,A.O.C. Block 2 Ndpt,GOLAI,76
291011,Abor Gaon N.C.,JAGUN,86
290006,Adarsha Deori,AMBIKAPUR,12
290915,Agbandha,MAKUMPATHAR,74
290903,Agbandha Bangali,MAKUMPATHAR,74
290127,Ahom Gaon,DHOLA-DHADUM,18
290352,Ahom Pathar,KAKOPATHER,23
290528,Ahukhat Gaon,BORGURI,48
290097,Ajukha Gaon,AROIMURIA,15
290096,Ajukha N.C.No.2,DANGARI,19
290118,Ajukha N.C.No.2,DANGARI,19
290887,Alubari Gaon No.2,KETETONG,73
289899,Amarpur,AMARPUR,1
290837,Ambikapur,BRAHMAJAN,71
290838,Ambikapur N.C.,BRAHMAJAN,71
290294,Amguri Gaon,GABHARUBHETI,39
290441,Amguri Gaon,GABHARUBHETI,39
290342,Amguri Gaon No-1 + 2,DIRAK,36
290972,Amrit Gaon,KUMSAI,85
290677,Anandabag T.E.,TINGRAI,54
289900,Arapatang,AMARPUR,1
290079,Arhai Muria Gaon,AROIMURIA,15
290210,Asomiya Balijan Gaon,TIPUK,25
290967,Assam Rly.Wla No.85,LEDO,82
290718,Assomiya Pathar Gaon,TINGRAI,54
290427,Athengia Gaon,RANGAJAN,26
290454,Badalbheta T.E. 111/114 Nlr,KAKOJAN,42
290455,Badlabheta T.E. 79/76 Nlr,KAKOJAN,42
290551,Baghbari Gaon,PANITOLA,46
290252,Baghjan Gaon,BAGHJAN,28
290253,Baghjan T.E. 137/140  (A) Nlr,BAGHJAN,28
290270,Baghjan T.E. 137/140 (B) Nlr,BAGHJAN,28
290225,Baghjan T.E. 212/167/214/164,BAGHJAN,28
290271,Baghjan T.E. 31 Wl,BAGHJAN,28
290248,Baghjan T.E. 351/352,BAGHJAN,28
290222,Baghjan T.E. 353 Nlr,BAGHJAN,28
290872,Baghmora Gaon,KETETONG,73
290656,Bahadur Te.344 Nlr.,KACHAMARI,56
290824,Balijan,DUWARMORA,70
