BLOCK_ID,STATE_ID,DISTRICT_I,id,Block_name,A,C,D,E,F,G,H,I,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,AA,AB,AC,AD,AE,AF,AG,AH,AI,AJ,AK,AM,AN,AO,AP,AQ,AR,AS,AT,AU,AY,AZ,BA,BB,BF,BG,BH,BI,BJ,BK,BL,BM,BN,BO,BP,BU,BV,J,BQ,BR,BS,BT,AL,BC,B,BE,BD,Dist_Name
6187,4,261,6187,UJANI MAJULI,73.35620354,39.98224327,15.78947368,6.578947368,7.894736842,11.84210526,6.578947368,2.631578947,5.263157895,19.73684211,27.63157895,13.15789474,32.89473684,28.94736842,27.63157895,11.84210526,63.15789474,7.894736842,15.78947368,22.36842105,44.77415666,40.78947368,1193,42.87021155,55.23889355,6.352201258,65.38139145,55.81906264,0.0,8.538005107,0.635400008,-53.1409199,17.00548196,1.478985838,7.17222476,11.74725275,9.417582418,1.234567901,20.98765432,31.48148148,26.54320988,0.0,19.75308642,2017.751662,28.74342952,21.04053662,24.58228771,26.6252419,0.147,0.45,0.095,0.021,0.454,0.584,0.0,0.0,0.666,0.021,78.56,43.24,8.11,178.4719879,80.3,15.27,2.96,0.0,Alluvium,12.61,Mix,Clay loam,Gentle/Level,Jorhat
2527,4,261,2527,JORHAT EAST,50.86689258,33.8147646,21.73913043,14.49275362,0.0,18.84057971,20.28985507,0.0,17.39130435,55.07246377,44.92753623,1.449275362,42.02898551,34.7826087,4.347826087,23.1884058,91.30434783,91.30434783,10.14492754,68.11594203,44.04602412,82.60869565,911,31.60611553,63.99560922,0.740799117,33.04061471,60.39280861,0.108199815,9.737983329,0.574015382,-53.1409199,1.69212476,0.155492546,3.859873777,12.97183099,9.901408451,2.02020202,0.0,70.70707071,23.23232323,0.0,0.0,1968.856544,28.65500077,20.92547787,24.5178465,26.56466625,0.887,0.813,0.216,0.93,0.177,0.463,0.0,0.0,0.917,0.913,82.78,43.24,8.11,181.1806633,80.3,15.27,2.96,0.0,Mix,12.61,Surface_water,Clay loam/Loam,Gentle/Level,Jorhat
3928,4,198,3928,MORONGI,59.9880601,4.702339215,5.154639175,0.0,4.12371134,7.216494845,0.0,0.0,2.06185567,34.02061856,4.12371134,0.0,19.58762887,20.6185567,12.37113402,13.40206186,75.25773196,15.46391753,6.18556701,41.2371134,26.63924911,65.97938144,876,25.31259328,74.08675799,2.092799575,47.26027397,65.45779965,0.04223731,9.978036599,0.53957448,-55.11181843,1.26394052,0.865639936,3.722782793,19.45,13.63,3.305785124,1.652892562,77.68595041,14.87603306,1.652892562,0.826446281,1628.575034,28.51490038,20.95216476,24.56789676,26.52303203,0.493,0.709,0.277,0.385,0.601,0.264,0.826,0.393,0.809,0.502,77.43,46.51,4.65,167.7200912,85.9,11.89,2.2,0.0,Alluvium,6.12,Surface_water,Loam/Clay loam,Gentle/Level,Golaghat
2596,4,198,2596,KAKODONGA,57.11442052,6.70037155,20.58823529,0.0,2.941176471,5.882352941,2.941176471,2.941176471,2.941176471,55.88235294,32.35294118,0.0,47.05882353,64.70588235,29.41176471,14.70588235,82.35294118,47.05882353,29.41176471,41.17647059,48.37068711,73.52941176,627,46.54969036,77.83094099,3.007962253,39.23444976,65.45779965,0.04223731,9.978036599,0.53957448,-55.11181843,20.76033058,6.355371901,3.950413223,11.44117647,4.029411765,0.0,0.0,74.35897436,25.64102564,0.0,0.0,1829.360824,28.75161475,21.05737161,24.61907915,26.64758419,0.493,0.709,0.277,0.385,0.601,0.264,0.826,0.393,0.809,0.502,77.43,46.51,4.65,158.3193277,85.9,11.89,2.2,0.0,Alluvium,6.12,Surface_water,Clay loam,Gentle/Level,Golaghat
1819,4,198,1819,GOMARIGURI,67.31638202,29.58917042,18.6440678,4.519774011,7.344632768,22.03389831,0.564971751,0.564971751,17.51412429,33.89830508,44.06779661,0.0,26.55367232,29.37853107,40.11299435,20.9039548,79.0960452,12.99435028,19.7740113,27.11864407,27.97733017,71.75141243,882,29.65842077,65.6462585,2.401010952,30.6122449,65.45779965,0.04223731,9.978036599,0.53957448,-55.11181843,5.987748411,1.734203791,5.162347934,20.51871658,17.40106952,0.0,1.941747573,57.2815534,39.80582524,0.0,0.0,1626.888408,28.42315364,20.86564755,24.49363522,26.44985398,0.493,0.709,0.277,0.385,0.601,0.264,0.826,0.393,0.809,0.502,77.43,46.51,4.65,165.2916746,85.9,11.89,2.2,0.0,Alluvium,6.12,Mix,Clay loam,Gentle/Level,Golaghat
7071,4,634,7071,Gobardhana,47.25465006,30.10556188,22.80701754,2.631578947,3.50877193,27.19298246,4.385964912000001,0.877192982,16.66666667,47.36842105,35.96491228,3.50877193,43.85964912,17.54385965,12.28070175,27.19298246,78.07017544,43.85964912,7.894736842,42.10526316,37.06641345,84.21052632,3379,50.93001173,63.12518497,1.846990262,27.40455756,54.61693548,0.263130687,17.82258065,0.67968077,-49.86132375,5.200729927,0.871350365,18.63138686,12.36440678,9.779661017,3.105590062,3.726708075,65.2173913,21.11801242,0.0,5.590062112,2347.125642,26.91074159,19.42987914,23.39423029,25.21433047,0.658,0.744,0.939,0.744,0.956,0.956,0.926,0.922,0.173,0.939,63.81,46.81,6.38,199.2420002,85.65,11.24,2.87,0.0,Alluvium,36.48,Surface_water,Loam/Clay loam,Gentle/Level,Baksa
7075,4,634,7075,Goreswar,78.972202,27.69146756,14.58333333,1.041666667,0.0,9.375,23.95833333,0.0,11.45833333,47.91666667,4.166666667000001,0.0,25.0,26.04166667,3.125,10.41666667,85.41666667,54.16666667,5.208333333,37.5,49.37582572,65.625,2454,64.8224541,53.78973105,0.407128798,10.02444988,59.4325666,0.547927191,14.42637502,0.630474172,-53.47549245,2.254122393,0.914784322,1.283043652,11.22105263,8.610526316,1.904761905,1.904761905,66.66666667,26.66666667,1.904761905,0.952380952,1965.759023,27.63469765,20.07347906,23.95097693,25.81026515,0.385,0.194,0.489,0.471,0.774,0.519,0.666,0.675,0.519,0.285,75.55,51.22,2.44,161.0600889,85.11,11.97,1.94,0.0,Alluvium,3.23,Surface_water,Clay loam/Loam,Gentle/Level,Baksa
7072,4,634,7072,Jalah,66.17082955,19.336474,18.18181818,3.03030303,3.03030303,22.72727273,4.545454545,0.0,12.87878788,57.57575758,77.27272727,5.303030303,48.48484848,20.45454545,1.515151515,24.24242424,97.72727273,17.42424242,3.787878788,65.90909091,40.59617581,90.90909091,2114,62.63066967,57.8051088,1.601710052,17.83349101,65.3831214,0.0,17.15489758,0.559803317,-53.47549245,4.062277287,0.65785867,10.13924675,11.36734694,9.31292517,0.440528634,0.881057269,60.79295154,37.00440529,0.0,0.440528634,2386.037078,27.05968055,19.56192985,23.51651874,25.34163074,0.298,0.0,0.385,0.688,0.203,0.0,0.0,0.0,0.783,0.229,69.25,30.77,21.15,153.5763518,78.11,15.02,6.87,0.0,Alluvium,3.23,Surface_water,Clay loam/Loam,Gentle/Level,Baksa
7085,4,634,7085,Nagrijuli,35.87143752,18.32718824,23.37662338,6.493506494,20.77922078,35.06493506,9.090909091,3.896103896,25.97402597,54.54545455,45.45454545,2.597402597,44.15584416,10.38961039,23.37662338,31.16883117,75.32467532,20.77922078,25.97402597,46.75324675,24.53413718,75.32467532,1066,22.47886001,41.83864916,0.669433135,12.94559099,65.3831214,0.0,17.15489758,0.559803317,-53.47549245,4.052208226000001,0.409773866,7.603581727,10.48,8.44,1.111111111,1.111111111,64.44444444,30.0,0.0,3.333333333,2358.824712,27.63273696,20.06971885,23.95146181,25.81023933,0.298,0.0,0.385,0.688,0.203,0.0,0.0,0.0,0.783,0.229,69.25,30.77,21.15,190.8231516,78.11,15.02,6.87,0.0,Alluvium,3.23,Surface_water,Clay loam/Loam,Gentle/Level,Baksa
7086,4,634,7086,Tamulpur,49.224838,18.46126284,24.10714286,6.25,13.39285714,25.89285714,4.464285714,2.678571429,12.5,43.75,17.85714286,2.678571429,43.75,37.5,24.10714286,34.82142857,72.32142857,8.928571429,14.28571429,41.96428571,40.98925437,75.0,2425,46.23082602,77.69072165,11.80652394,15.91752577,65.3831214,0.0,17.15489758,0.559803317,-53.47549245,10.68117694,2.524183797,11.57799274,11.9122807,9.912280702,3.47826087,0.0,64.34782609,26.95652174,0.869565217,3.47826087,1830.347222,27.62366311,20.05709623,23.94828523,25.8052053,0.298,0.0,0.385,0.688,0.203,0.0,0.0,0.0,0.783,0.229,69.25,30.77,21.15,163.4012671,78.11,15.02,6.87,0.0,Alluvium,3.23,Mix,Clay loam/Loam,Gentle/Level,Baksa
83,4,210,83,Algapur,37.26790882,11.31123096,17.80821918,24.65753425,23.28767123,5.479452055,0.0,1.369863014,12.32876712,49.31506849,27.39726027,2.739726027,36.98630137,32.87671233,57.53424658,19.17808219,80.82191781,79.45205479,42.46575342,63.01369863,37.66461809,73.97260274,1257,36.36393197,65.87112172,1.850225994,25.45743835,63.74107962,0.134730982,22.02185307,0.575079734,-47.8326251,1.765176882,4.80419275,5.615810162,48.20289855,29.66666667,0.0,15.0,46.66666667,33.33333333,3.333333333,1.666666667,2742.306484,27.20026708,20.23910239,24.00876775,25.66261724,0.155,0.917,0.649,0.142,0.432,0.813,0.0,0.818,0.06,0.35,74.33,25.0,25.0,203.2051416,81.21,16.36,1.21,0.0,Alluvium,2.55,Surface_water,Clay loam/Loam,Gentle/Level,Hailakandi
162,4,277,162,Amri,43.34074623,83.18739054,6.25,2.083333333,26.5625,0.520833333,0.520833333,0.0,4.166666667000001,4.166666667000001,9.375,1.041666667,6.770833333,7.291666667,5.729166667,1.5625,45.3125,0.0,0.520833333,15.625,8.236553826,46.35416667,492,37.54221234,44.30894309,0.436537353,6.504065041,58.67612534,0.190874758,9.087475758,0.63745001,-53.23741163,1.140371502,0.094051258,0.094051258,12.66911765,8.632352941000002,0.421940928,0.0,91.98312236,4.641350211,0.843881857,0.421940928,1219.868899,27.4863476,20.21099853,23.91856863,25.71464491,0.051,0.337,0.017,0.194,0.0,0.0,0.0,0.0,0.649,0.06,63.35,42.5,7.5,136.8210863,76.37,15.38,7.69,0.0,Mix,2.81,Surface_water,Clay loam,Steep/Very steep,Karbi Anglong
