district_name,block_name,gp_name,vill_name,lat,long,dairy_production,goat_farming,goat_breeding_farm,goat_kid_nursery,goat_nursery,pig_farming,pig_breeding_farm,pig_piglet_nursery,pig_nursery,poultry_backyard,poultry_broiler,poultry_hen,poultry_duck_hatchery,duck_rearing,fishery_activity,fishery_hatchery,fishery_equip_trading,fishery_equip_lending,fishery_equip_mfg,fish_trading,fishery_nursery_pond,feed_manufacturing,fodder_cultivation,livestock_transport,meat_shop
DHEMAJI,MURKONGSELEK,SOMKONG,SOMKONG,27.66813,94.897624,66,104,0,0,0,205,0,0,0,40,0,0,0,21,12,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,DIKHARI,,,15,42,0,0,0,82,0,0,0,10,2,0,0,17,6,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIMEN CHAPORI,MANIKPUR,27.722293,94.898687,1,25,0,0,0,97,0,0,0,1,16,0,0,12,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,NAHAR SUMOIMARI,27.780439,95.15631,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,ADI TAKO,,,1,7,0,0,0,5,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,KULAMUA GOAN,,,0,204,0,0,0,176,0,0,0,0,3,0,0,7,25,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,SILLE,NO 2 RIGBI,27.812868,95.276567,0,4,0,0,0,27,0,0,0,5,0,0,0,2,10,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,TELAM,OTHER,,,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,3,0,0
DHEMAJI,MURKONGSELEK,GALI SIKARI,NO.1 AMARPUR,27.750505,95.096802,0,89,0,0,0,107,0,0,0,10,1,0,0,1,17,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,BAHIR JONAI,MOHMORA PATHAR(GINE MOHMARA ),27.815567,95.250497,0,17,0,0,0,37,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,SIGA ROUND GAON,27.771213,95.134462,1,141,1,1,0,133,1,3,0,3,0,0,0,0,32,1,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,LAIMEKURI,NO.2 KARNAPUR,27.747438,95.074823,2,7,0,0,0,27,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,NO.1 MIRI TAKO (LAIMEKURI),27.747438,95.074823,20,16,0,0,0,93,0,0,0,32,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,NO.2 MIRI TAKO,27.747438,95.074823,3,23,0,0,0,48,0,0,0,41,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,KEMI 2,27.857692,95.333795,0,19,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,DEKAPAM PENSAM,27.746455,94.932973,0,57,0,0,0,154,0,0,0,8,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG TINISUTI,27.74463,95.071942,4,4,0,0,0,6,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,SIGA MISHING,27.77121,95.134487,1,141,1,1,0,133,1,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,LAIMEKURI,MADHABPUR,27.744727,95.071578,4,18,0,0,0,41,0,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,BAHIR JONAI,BAHIR JONAI(PART 1),,,6,29,0,0,0,64,0,0,0,11,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,OTHER,27.771019,95.134271,0,40,0,0,0,44,0,0,0,1,0,0,0,4,19,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,MADHYAPUR,27.744847,95.0718,3,1,0,0,0,13,0,0,0,4,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,NO.1 KARNAPUR,27.744982,95.071768,1,6,0,0,0,12,0,0,0,9,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,RAMSING SITARAM CHAPORI,27.744766,95.071607,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,HOZONG,27.724533,94.919583,0,6,0,0,0,191,0,0,0,3,2,0,0,4,11,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,NO 1 BORGOYAN DEORI,27.52534,94.751536,29,40,0,0,0,6,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,GALI PATHAR,27.781455,95.124103,0,79,1,1,0,152,1,15,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SILLE,BAHIR SILLE,27.792544,95.272199,0,41,0,0,0,85,0,0,0,5,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,NARAYANPUR RABHA (HAULI ),27.674512,94.902483,3,18,0,0,0,101,0,0,0,5,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,NO.1 MAJULIPUR,,,6,18,0,0,0,18,0,0,0,13,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,LAMPUNG,,,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,CHIMENMUKH,SIMEN TANGABARI,,,26,100,0,0,0,51,0,0,0,3,0,0,0,2,12,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,AKAJAN,NO 6 BORGORAH DEORI,27.544378,94.739619,11,9,0,0,0,10,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,AMGURI BALI,27.443949,94.722418,0,31,0,0,0,28,0,0,0,1,0,0,0,3,5,1,0,0,0,0,0,0,0,1,0
DHEMAJI,MURKONGSELEK,KULAJAN,KULAMUA KACHARI,,,0,10,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG ARASUTI,,,1,4,0,0,0,3,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG MUKTIAR,,,3,1,0,0,0,2,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,NARAYANPUR HAJONG,27.639125,94.889509,2,32,0,0,0,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,NAHARANI ( NO.3 MAHANPUR)(SANGAPARA),27.736058,94.923988,0,43,0,0,0,199,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG PIPALGURI,,,5,3,0,0,0,7,0,0,0,4,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG TELIJAN,,,5,5,0,0,0,7,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,TELAM,ARUN CHAPORI,,,0,17,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,LAKHI NEPALI,,,6,112,0,0,0,176,0,0,0,65,1,0,0,17,1,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,OTHER,BHOLUKAGURI DAMBUK,27.4422,94.718405,1,136,2,0,0,43,8,0,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,LAIMEKURI,BORONG CHARAIBARI,,,3,0,0,0,0,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DIMOW,DIJMUR HINDU GOAN (DIZMORR NEPALI),27.674066,94.84218,2,41,0,0,0,34,0,0,0,5,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SOMKONG,APSARA,27.629156,94.946995,0,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,JUNGAON NEPALI (AKAJAN JUN),,,8,22,0,0,0,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,AKAJAN MIRI (AKAJAN SANTIPUR),,,1,130,0,0,0,24,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,TELAM,NO.1 TELAM,,,0,47,0,0,0,25,0,0,0,24,0,0,0,1,2,0,0,0,0,1,0,0,0,0,3
DHEMAJI,MURKONGSELEK,TELAM,TELEM PATHAR,,,0,52,0,0,0,54,0,0,0,3,1,0,0,0,2,0,0,0,0,0,0,0,0,2,0
DHEMAJI,MURKONGSELEK,OTHER,ISHWARPATHR,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,DABLANG PATRI,27.533448,94.729712,0,105,0,0,0,45,0,0,0,2,0,0,0,1,11,0,0,0,0,0,0,0,0,0,1
DHEMAJI,MURKONGSELEK,JONAI,JONAI BAZAR,27.825017,95.228757,12,104,0,0,0,293,0,0,0,26,3,0,0,15,4,0,0,0,0,0,0,0,0,1,2
DHEMAJI,MURKONGSELEK,SOMKONG,LAMBA CHAPORI,27.632195,94.951937,1,58,0,0,0,12,0,0,0,2,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.2 MURKONGSELEK,27.830195,95.221603,20,98,0,0,0,214,0,0,0,38,4,0,0,26,7,0,0,0,0,1,0,0,0,0,0
DHEMAJI,MURKONGSELEK,OTHER,ISHWARPATHAR,,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,NO.2 BOGORI CHAPORI,,,0,2,0,0,0,12,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,NO.1 BOGORI CHAPORI,27.681675,95.029462,0,21,0,0,0,55,0,0,0,11,0,0,0,3,19,0,0,0,0,0,0,0,0,0,2
DHEMAJI,MURKONGSELEK,BAHIR JONAI,BOLAIPAM,27.821203,95.230978,0,35,0,0,0,134,0,0,0,20,0,0,0,4,8,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.3 MURKONGSELEK (PART-I),27.82297,95.215316,0,3,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,NAHARBANDANA,27.762347,95.150877,0,49,0,0,0,24,0,0,0,8,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DEKAPAM,NAMKIR PATHAR,27.740296,94.932026,0,33,0,43,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,2
DHEMAJI,MURKONGSELEK,BAHIR JONAI,NO 1 RATANPUR PADI,27.810748,95.238984,8,37,0,0,0,100,0,0,0,13,0,0,0,3,12,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.3 MURKONGSELEK (PART-II),27.823703,95.214352,1,10,0,0,0,45,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DIMOW,NO.1 NAHARBARI,,,1,55,0,0,0,55,0,0,0,4,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,POKORIGURI,,,1,41,0,0,0,26,0,0,0,9,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KULAJAN,KANDULIJAN GAON (DIPU GAON)(KANDULI JOL)KANDULI MOTHURA,27.524478,94.728769,4,34,0,0,0,26,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO 1 MORKONGSELEK,27.839681,95.21886,0,10,0,0,0,135,0,0,0,8,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,KATHALGURI BIHIYA,27.762247,95.103715,0,34,0,0,0,79,0,0,0,3,2,0,0,1,22,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,DIMOW,NO.2 NAHARBARI,27.698916,94.853198,4,96,0,0,0,83,0,0,0,9,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO.1 TARAJAN,27.829467,95.23862,1,16,0,0,0,50,0,0,0,13,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,MISINGPUR (MEMBERCHUK),27.533356,94.729613,37,51,0,0,0,30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,SIGA,NO 2 UDOY BORO,27.78191,95.105367,0,4,0,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,NO.2 RAYENG KULI,27.798902,95.211818,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,BIKROMPUR,27.725702,95.052822,0,5,0,0,0,27,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,BAHIR JONAI,MAHMARA,,,1,20,0,0,0,83,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,AKAJAN,BORMURIA CHAPORI,27.566555,94.743922,9,51,0,0,0,31,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,JONAI,CHANDRAPUR (LULAT),27.799036,95.202948,1,25,0,0,0,38,0,0,0,9,1,0,0,8,4,0,0,0,0,0,0,0,0,1,1
DHEMAJI,MURKONGSELEK,JONAI,JOYMAGURI,27.804776,95.200837,0,21,0,0,0,55,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0
DHEMAJI,MURKONGSELEK,BAHIR JONAI,KOPLONG MAHMORA,27.789151,95.246083,1,2,0,0,0,62,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,RAMDHAN DIKHARI,BURISUTI KACHARI,27.675919,95.026861,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DHEMAJI,MURKONGSELEK,KEMI JELOM,NO.1 JELAM,27.8715,95.30878,0,39,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
